State,RegionCode,RegionLabel,TotalArea,CropStubTotal,CropStubCoolBurn,CropStubHotBurn,CropStubWindrowLeft,CropStubWindrowRemove,CropStubSoil,CropStubRetainGround,CropStubRetainStand,CropStubGraze,CropStubOther,SoilManTotal,SoilManCompost,SoilManGreen,SoilManMulch,SoilManLime,SoilManDolo,SoilManGyp,SoilMa0oul,SoilManOther,LandUseNotAgri,LandUseCrops,LandUseGraze,LandUseForest,LandUseOther
NSW AND ACT,9991,New South Wales and Australian Capital Territory,55438873.58,5596788.95,823943.52,419705.44,26126.05,105900.23,788673.65,1010844.16,1719665.94,579823.74,122106.22,1242551.57,54263.45,12742.59,3704.76,438983.49,13588.76,405113.87,139880.01,172886.84,2224871.66,8742205.46,42573890.55,319673.89,21659.72
NSW AND ACT,101,Central Tablelands,1669440.87,117680.33,24324.57,7508.9,0,7612.29,15958.05,19875.06,4012.4,37425.19,963.86,65966.79,6124.15,97.62,105.3,0,0,4216.86,3627.23,8468.63,68637.8,156239.08,1372808.44,20145.21,205.5
NSW AND ACT,102,Central West,7298850.68,1421761.49,199555.14,97720.12,10660.18,24975.85,222207.92,196924.39,491767.1,158498.49,19452.29,198025.24,8704.12,0,0,62292.24,2808.71,50467.16,17950.31,52860.18,324965.22,2237169.96,4489690.74,13257.58,3044.85
NSW AND ACT,103,Greater Sydney,70878.35,93.71,0,0,0,0,0,46.64,0,47.07,0,5365.87,503.06,291.29,88.07,893.46,325.98,226.61,2982.89,54.49,9711.04,13612.34,46547.25,168.63,1398.07
NSW AND ACT,104,Hunter,1177500.34,15359.99,1297.01,545.7,0,947.6,1847.91,4993.74,1100.75,4627.28,0,29662.02,1188.49,0,654.72,6726.13,1623.88,874.74,12025.33,5769.25,94778.89,35726.32,1024637.17,4227.78,1929.33
NSW AND ACT,105,Murray,3248241.47,738728.58,159302.76,105646.59,4510.88,12095.98,75614.35,149091.14,129413.7,83877.12,19176.07,253817.04,5896.61,1237.44,0,97965.22,900.07,112201.94,18300.96,16478.54,128191.65,1037179.27,1949350.91,31292.84,4364.3
NSW AND ACT,106,North Coast,731742.94,18477.99,4211.3,542.95,803.96,244.74,4546.87,4738.34,206.89,370.8,2812.15,54510.21,4066.02,879.6,1994.26,19477.28,1353.46,1131.13,10686.77,14836.4,63916.98,64033.38,497787.92,80045.52,3946.11
NSW AND ACT,108,North West NSW,6229509.71,1569139.74,82845.9,20483.62,0,10731.13,280074.15,332051.12,729327.37,81124.99,32501.45,117697.76,9768.16,0,0,0,0,42759.37,23849.26,22114.42,260146.43,2504479.22,3219516.26,37735.08,2094.75
NSW AND ACT,109,Northern Tablelands,1795059.44,70112.83,3109.54,896.47,0,726.83,9159.44,12149.95,24626.46,17125.78,2318.35,43371.26,752.43,1761.68,0,0,0,5350.11,0,22192.07,110603.66,106913.71,1481987.04,38135.44,323.27
NSW AND ACT,110,Riverina,5980840.26,1353379.61,330840.96,178249.57,9647.61,40803.67,141965.64,192953.21,281246.87,136554.3,41117.78,378025.49,9064.48,4179.17,0,157534.43,6057.81,146714.94,38432.72,15837.99,255949.18,1998806.52,3533520.77,18175.52,3652.9
NSW AND ACT,801,ACT,5980840.26,1353379.61,330840.96,178249.57,9647.61,40803.67,141965.64,192953.21,281246.87,136554.3,41117.78,378025.49,9064.48,4179.17,0,157534.43,6057.81,146714.94,38432.72,15837.99,255949.18,1998806.52,3533520.77,18175.52,3652.9
NSW AND ACT,111,South East NSW,1730235.41,47789.43,5978.97,7589.73,503.42,353.69,8251.72,2388.69,1556.22,17402.73,3764.26,78130.25,788.03,638.59,48.31,17913.13,125.12,36310,8836.35,13470.72,116447.74,88657.95,1486633.91,12495.31,694.89
NSW AND ACT,112,Western,25506574.1,244265.26,12477.37,521.79,0,7408.45,29047.61,95631.88,56408.18,42769.99,0,17979.63,7407.88,340.8,0,0,0,4861.01,0,804.16,791523.07,499387.69,23471410.15,63995,5.73
NT,9997,Northern Territory,54580046.46,1309.16,0,0,0,0,70.86,21.79,0,1216.51,0,8511.24,77.3,1289.98,0,651.48,375.28,2750.35,316.06,3037.86,3153928.46,20575.95,49894961.4,4317.44,529.34
